  ele   Z    A   initial      013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Kr   36    0  1.0981E-07  1.4473E-06  1.8745E-06  4.6000E-06  1.4150E-05  2.1049E-06  2.8396E-06  4.7404E-06  6.3519E-06  1.0245E-05
  Rb   37    0  2.0863E-08  3.0606E-07  4.3650E-07  1.1424E-06  3.1382E-06  3.9989E-07  5.3947E-07  8.9618E-07  1.1848E-06  1.8997E-06
  Sr   38    0  4.7867E-08  6.8462E-07  9.7063E-07  2.1426E-06  4.3687E-06  9.1754E-07  1.2378E-06  2.0804E-06  2.8485E-06  4.6406E-06
  Y    39    0  1.0626E-08  1.3848E-07  1.8115E-07  3.5042E-07  7.4635E-07  2.0369E-07  2.7478E-07  4.5763E-07  6.1041E-07  9.8289E-07
  Zr   40    0  2.5559E-08  3.0302E-07  3.7190E-07  6.3094E-07  1.1927E-06  4.7573E-07  6.4176E-07  1.0682E-06  1.4224E-06  2.2880E-06
  Nb   41    0  1.9745E-09  2.2395E-08  2.6655E-08  4.3648E-08  8.6085E-08  3.7849E-08  5.1059E-08  8.3994E-08  1.1046E-07  1.7630E-07
  Mo   42    0  4.8155E-09  6.5331E-08  7.7129E-08  1.1347E-07  1.7006E-07  1.0650E-07  1.4368E-07  2.4087E-07  3.2301E-07  5.2197E-07
  Xe   54    0  6.1557E-09  6.8883E-08  7.9555E-08  1.1145E-07  1.4938E-07  1.1800E-07  1.5918E-07  2.6433E-07  3.5013E-07  5.6165E-07
  Cs   55    0  1.1771E-09  1.2768E-08  1.4716E-08  1.9825E-08  2.7164E-08  2.2564E-08  3.0439E-08  4.9917E-08  6.5166E-08  1.0366E-07
  Ba   56    0  1.5282E-08  1.7832E-07  2.1476E-07  3.3064E-07  4.8460E-07  2.9294E-07  3.9518E-07  6.6018E-07  8.8656E-07  1.4321E-06
  La   57    0  1.2882E-09  1.4924E-08  1.7903E-08  2.7751E-08  4.2398E-08  2.4692E-08  3.3313E-08  5.5472E-08  7.3934E-08  1.1898E-07
  Ce   58    0  3.4658E-09  3.9431E-08  4.6092E-08  6.7224E-08  9.5011E-08  6.6435E-08  8.9622E-08  1.4922E-07  1.9876E-07  3.1976E-07
  Pr   59    0  5.4475E-10  6.1245E-09  7.0072E-09  1.0005E-08  1.4931E-08  1.0442E-08  1.4086E-08  2.3307E-08  3.0640E-08  4.8969E-08
  Nd   60    0  1.7381E-09  2.0035E-08  2.3713E-08  3.4136E-08  4.7528E-08  3.3318E-08  4.4947E-08  7.4860E-08  9.9637E-08  1.6027E-07
  Hg   80    0  8.0938E-10  9.1872E-09  1.0633E-08  1.5154E-08  2.0295E-08  1.5515E-08  2.0930E-08  3.5008E-08  4.7087E-08  7.6131E-08
  Tl   81    0  1.1953E-09  1.3407E-08  1.5621E-08  2.2177E-08  3.0132E-08  2.2912E-08  3.0909E-08  5.1342E-08  6.8202E-08  1.0951E-07
  Pb   82    0  8.5836E-09  9.7803E-08  1.1470E-07  1.6710E-07  2.3286E-07  1.6453E-07  2.2196E-07  3.6990E-07  4.9388E-07  7.9555E-07
  Bi   83    0  6.8727E-10  7.6645E-09  8.7967E-09  1.2119E-08  1.5559E-08  1.3174E-08  1.7772E-08  2.9573E-08  3.9311E-08  6.3189E-08
