  ele   Z    A   initial      013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Kr   36    0  1.0981E-07  1.4473E-06  1.8745E-06  4.6000E-06  1.4150E-05  2.5022E-05  7.8369E-05  1.3553E-04  3.3384E-04  5.7819E-04
  Rb   37    0  2.0863E-08  3.0606E-07  4.3650E-07  1.1424E-06  3.1382E-06  7.5254E-06  2.2453E-05  4.1439E-05  1.0183E-04  1.6721E-04
  Sr   38    0  4.7867E-08  6.8462E-07  9.7063E-07  2.1426E-06  4.3687E-06  7.6130E-06  2.7485E-05  5.6408E-05  1.6764E-04  2.9738E-04
  Y    39    0  1.0626E-08  1.3848E-07  1.8115E-07  3.5042E-07  7.4635E-07  1.2558E-06  3.8980E-06  7.4166E-06  1.9132E-05  3.1052E-05
  Zr   40    0  2.5559E-08  3.0302E-07  3.7190E-07  6.3094E-07  1.1927E-06  1.8853E-06  4.6484E-06  8.2431E-06  1.8726E-05  3.4886E-05
  Nb   41    0  1.9745E-09  2.2395E-08  2.6655E-08  4.3648E-08  8.6085E-08  9.6223E-08  2.6116E-07  3.8334E-07  7.2849E-07  1.1194E-06
  Mo   42    0  4.8155E-09  6.5331E-08  7.7129E-08  1.1347E-07  1.7006E-07  2.0539E-07  3.8261E-07  5.9243E-07  1.0678E-06  1.7862E-06
  Xe   54    0  6.1557E-09  6.8883E-08  7.9555E-08  1.1145E-07  1.4938E-07  1.8003E-07  2.9940E-07  4.8403E-07  8.5488E-07  1.3400E-06
  Cs   55    0  1.1771E-09  1.2768E-08  1.4716E-08  1.9825E-08  2.7164E-08  3.2457E-08  5.4225E-08  8.7603E-08  1.4324E-07  2.0704E-07
  Ba   56    0  1.5282E-08  1.7832E-07  2.1476E-07  3.3064E-07  4.8460E-07  5.6262E-07  1.0609E-06  1.5759E-06  2.5190E-06  3.8785E-06
  La   57    0  1.2882E-09  1.4924E-08  1.7903E-08  2.7751E-08  4.2398E-08  5.2067E-08  8.9643E-08  1.3496E-07  1.9040E-07  2.6630E-07
  Ce   58    0  3.4658E-09  3.9431E-08  4.6092E-08  6.7224E-08  9.5011E-08  1.1577E-07  1.8519E-07  2.7822E-07  4.0031E-07  5.9282E-07
  Pr   59    0  5.4475E-10  6.1245E-09  7.0072E-09  1.0005E-08  1.4931E-08  2.0432E-08  3.2316E-08  5.2290E-08  8.2129E-08  1.0857E-07
  Nd   60    0  1.7381E-09  2.0035E-08  2.3713E-08  3.4136E-08  4.7528E-08  5.3129E-08  8.4719E-08  1.2300E-07  1.8151E-07  2.7744E-07
  Hg   80    0  8.0938E-10  9.1872E-09  1.0633E-08  1.5154E-08  2.0295E-08  2.3093E-08  3.5820E-08  5.3789E-08  7.9545E-08  1.2946E-07
  Tl   81    0  1.1953E-09  1.3407E-08  1.5621E-08  2.2177E-08  3.0132E-08  3.4894E-08  5.5580E-08  8.2412E-08  1.1336E-07  1.6741E-07
  Pb   82    0  8.5836E-09  9.7803E-08  1.1470E-07  1.6710E-07  2.3286E-07  2.6932E-07  4.2939E-07  6.3763E-07  8.9514E-07  1.3103E-06
  Bi   83    0  6.8727E-10  7.6645E-09  8.7967E-09  1.2119E-08  1.5559E-08  1.7407E-08  2.4285E-08  3.7243E-08  5.0362E-08  7.7142E-08
