H, 2.3e-10
He, 3.58e-5
Z, 0.9999642
Li, 1.41e-15
B, 3.78e-15
C, 4.91e-8
N, 1.29e-7
O, 4.58e-1
F, 5.78e-12
Ne, 2.29e-1
Na, 3.64e-8
Mg, 3.91e-3
Al, 3.12e-6
Si, 2.87e-2
P, 4.18e-6
S, 1.75e-2
Cl, 3.61e-6
Ar, 3.93e-3
K, 1.08e-6
Ca, 6.54e-3
Sc, 2.47e-8
Ti, 1.94e-3
V, 1.03e-4
Cr, 7.92e-4
Mn, 3.83e-3
Fe, 1.94e-1
Co, 2.65e-4
Ni, 3.03e-2
Remnant, 0.16
